Prediction ID,LISZT_FERENC_STATION_MEMORY_rmse,LISZT_FERENC_STATION_MEMORY_mae,LISZT_FERENC_STATION_MEMORY_mape,LISZT_FERENC_STATION_LOAD_OF_RESOURCE_rmse,LISZT_FERENC_STATION_LOAD_OF_RESOURCE_mae,LISZT_FERENC_STATION_LOAD_OF_RESOURCE_mape,LISZT_FERENC_STATION_TOTAL_PROCESSING_POWER_rmse,LISZT_FERENC_STATION_TOTAL_PROCESSING_POWER_mae,LISZT_FERENC_STATION_TOTAL_PROCESSING_POWER_mape,KALOCSA_FOKTO_STATION_MEMORY_rmse,KALOCSA_FOKTO_STATION_MEMORY_mae,KALOCSA_FOKTO_STATION_MEMORY_mape,KALOCSA_FOKTO_STATION_LOAD_OF_RESOURCE_rmse,KALOCSA_FOKTO_STATION_LOAD_OF_RESOURCE_mae,KALOCSA_FOKTO_STATION_LOAD_OF_RESOURCE_mape,KALOCSA_FOKTO_STATION_TOTAL_PROCESSING_POWER_rmse,KALOCSA_FOKTO_STATION_TOTAL_PROCESSING_POWER_mae,KALOCSA_FOKTO_STATION_TOTAL_PROCESSING_POWER_mape,DEBRECEN_INTERNATIONAL_AIRPORT_MEMORY_rmse,DEBRECEN_INTERNATIONAL_AIRPORT_MEMORY_mae,DEBRECEN_INTERNATIONAL_AIRPORT_MEMORY_mape,DEBRECEN_INTERNATIONAL_AIRPORT_LOAD_OF_RESOURCE_rmse,DEBRECEN_INTERNATIONAL_AIRPORT_LOAD_OF_RESOURCE_mae,DEBRECEN_INTERNATIONAL_AIRPORT_LOAD_OF_RESOURCE_mape,DEBRECEN_INTERNATIONAL_AIRPORT_TOTAL_PROCESSING_POWER_rmse,DEBRECEN_INTERNATIONAL_AIRPORT_TOTAL_PROCESSING_POWER_mae,DEBRECEN_INTERNATIONAL_AIRPORT_TOTAL_PROCESSING_POWER_mape,KECSKEMET_AIRPORT_MEMORY_rmse,KECSKEMET_AIRPORT_MEMORY_mae,KECSKEMET_AIRPORT_MEMORY_mape,KECSKEMET_AIRPORT_LOAD_OF_RESOURCE_rmse,KECSKEMET_AIRPORT_LOAD_OF_RESOURCE_mae,KECSKEMET_AIRPORT_LOAD_OF_RESOURCE_mape,KECSKEMET_AIRPORT_TOTAL_PROCESSING_POWER_rmse,KECSKEMET_AIRPORT_TOTAL_PROCESSING_POWER_mae,KECSKEMET_AIRPORT_TOTAL_PROCESSING_POWER_mape,BUDAPEST_MAIN_MEMORY_rmse,BUDAPEST_MAIN_MEMORY_mae,BUDAPEST_MAIN_MEMORY_mape,BUDAPEST_MAIN_LOAD_OF_RESOURCE_rmse,BUDAPEST_MAIN_LOAD_OF_RESOURCE_mae,BUDAPEST_MAIN_LOAD_OF_RESOURCE_mape,BUDAPEST_MAIN_TOTAL_PROCESSING_POWER_rmse,BUDAPEST_MAIN_TOTAL_PROCESSING_POWER_mae,BUDAPEST_MAIN_TOTAL_PROCESSING_POWER_mape
10,0.26119088344617075,0.2276566298097191,0.2318954867545839,0.265575778075755,0.10156732455816597,,0.26119088344617664,0.22765662980968587,0.2318954867545454,0.2639856956762822,0.20489852182407392,0.28435103795637595,0.3023621496791546,0.25994663607356494,0.44252889782324956,0.2639856956762583,0.20489852182408352,0.2843510379564084,0.25369637012556223,0.1909195633559697,,0.03247281132418399,0.026805146248383243,,0.07321430689504534,0.05512416950442623,,0.29503562071336015,0.24457257603078625,0.4695026315219845,0.5258793800997981,0.44354077541321324,,0.29503562071335954,0.24457257603078572,0.46950263152198696,0.255300269027322,0.189943802828608,,0.32707240931508796,0.25739747998468454,,0.26167221819544545,0.19473198568969913,
11,0.28555034794454287,0.20429049349424183,0.5681017821457748,0.2205004980898755,0.17233695393962012,,0.2855503479445194,0.20429049349423326,0.5681017821457247,0.1710407790003794,0.13653811181055553,0.7456624618129073,0.20590716571622378,0.18026780112255997,0.6596979478137547,0.08486505280272982,0.06532917817720783,0.25131825794026763,0.32406438475286464,0.2491468870149841,0.5718277965862382,0.07019800661015425,0.03842861954490985,0.08329565330964614,0.16699488258873432,0.13110166171872603,0.3122923090557278,0.1169330541424196,0.10016189559793914,,0.09111369535000674,0.07528047879596088,,0.11693305414291834,0.1001618955982847,,0.22526200047221095,0.16921497778436195,,0.21623283917065156,0.167583400486837,,0.11121630558854002,0.08353941859230735,
12,0.43768758389546764,0.3195415623208555,0.38134921577389214,0.23460706159662956,0.12093739668122871,,0.43036569573616434,0.31401764564968204,0.3746117997591553,0.4237555072208487,0.3648068701883167,1.029228694805661,0.13361405540886728,0.09991595583771233,0.3312546626701276,0.4224693316397144,0.3637841288142126,1.0268237278031414,0.25615745303233445,0.19445733000328816,0.2178076237860482,0.16821503691043474,0.11413646551262394,0.13382802316692444,0.25615745303233706,0.19445733000329124,0.21780762378605156,0.22037969818469738,0.18031709032009602,0.8524724386802023,0.08141836772887441,0.05168591327050989,,0.2203796981848814,0.18031709032025886,0.8524724386809129,0.20506919259290265,0.15609490504092777,,0.3471978564397883,0.2745654362534674,,0.20311695719015874,0.1544783909942919,
13,0.3884266879184812,0.27277475436215787,,0.23833558338239083,0.14192874177520307,,0.38842668791846935,0.27277475436214677,,0.2812854187477525,0.24067564797533444,0.7704703679555888,0.1235159318957284,0.10491249163343228,0.31627963190619346,0.2812854187477603,0.24067564797534238,0.7704703679556131,0.49856831025756265,0.3736247025009395,0.4959274816105852,0.3903028432008688,0.3372369534171086,0.365129802305042,0.44054628713482474,0.3291715840528034,0.43873327754810953,0.5234547626174605,0.36145173079823106,0.40485471389628286,0.42148614916101557,0.33143942653038927,0.46581093085841724,0.5240185931410746,0.3619716154795176,0.40549200652872036,0.09093731216265996,0.07627365253210501,,0.022857862398746952,0.019541907665717086,,0.09093731216361672,0.07627365253288322,
14,0.3796584737959628,0.30244252555646006,0.3164014606174919,0.3027805956401468,0.2087891846211427,0.35833305011160443,0.385248470219636,0.3073567810717135,0.32169559631052963,0.2103126731494675,0.16991105242275112,0.7857246085293615,0.09962694771941377,0.0720611919745796,0.42408734160783607,0.21031267314948454,0.169911052422763,0.785724608529415,0.09691577529581655,0.07769954153052737,0.12220140650508807,0.12951674706955096,0.09085244623807648,0.12319051862737308,0.0969157752958121,0.07769954153052416,0.12220140650508408,0.38177802379652115,0.2944857891816871,,0.1337956099568245,0.10945453239431494,,0.38177802379644216,0.29448578918161816,,0.14622165393752154,0.12396835658059036,,0.1442421731093301,0.1267641625949451,,0.1462216539373449,0.12396835658042252,
15,0.28913871179211326,0.24238527704380247,0.35107853471903566,0.22394554492281935,0.140058522981227,0.1902309567331471,0.2891387117918607,0.2423852770437087,0.3510785347191343,0.7585703463067297,0.6662854068136781,0.8407273301829187,0.30341793358832625,0.24503662237221205,0.3107961616285914,0.7764800515552993,0.6803836480874992,0.858198979813211,0.44511711454511854,0.34956209323358756,,0.32852944094457626,0.26591328658453445,,0.4451171145436207,0.34956209323218046,,0.10601916792581713,0.08216867753378251,0.12090107026069681,0.13905524005829845,0.11644784475183335,0.17297022736557374,0.11108535435795797,0.08547236845970595,0.1255802309048836,0.22439991426529543,0.17330187544236134,,0.21305634594010595,0.16603376813236262,,0.22439991426613273,0.17330187544302905,
16,1.4379097653684165,1.1095989985459385,,0.24867109951103433,0.18181563321622618,,1.3328896123328595,1.030344831435574,,0.15083808181815364,0.10314073893463874,,0.3685419625087813,0.282468324467858,,0.15083808181813183,0.10314073893461977,,0.2868847594350248,0.20888657684230583,0.24723493716427236,0.39278827157422985,0.31197765024136626,0.4517009354743763,0.28717694275530314,0.2091115176446637,0.2475076905502644,0.051647705493109194,0.037080295033107884,,0.2234179414817923,0.16149710351520785,,0.051647705493987055,0.037080295033971145,,0.06482195614266863,0.055349017490630925,0.10372852968695812,0.04223290595212625,0.03439573654352526,0.06923832641317264,0.06482195614269522,0.05534901749065378,0.10372852968700573
17,0.32418506992014506,0.2783125073377358,0.28253724660344604,0.30019262100969873,0.150870637573304,0.28351953468693725,0.32418506992015,0.27831250733773727,0.2825372466034473,0.6979456445821411,0.5852477820443442,,0.2657460952998649,0.20807979519919034,,0.6880216510150264,0.5775593586870208,,0.4516897020537659,0.36429506583239696,0.5087096427548943,0.3183300018662385,0.20648522116923979,0.2923051124007731,0.4516897020628225,0.36429506583881355,0.5087096427624769,0.552131176566832,0.4528746615092545,,0.3647496265003605,0.3258544296167271,,0.5521311765668502,0.4528746615092746,,0.18205030289858964,0.15393002106579623,,0.09558573286104463,0.08195343149985553,,0.18205030274123485,0.15393002093464647,
18,1.4053661370416342,1.2513273018791133,1.4738432777629713,0.23649836281670839,0.12465707665399203,,1.40249203135552,1.249060593746572,1.4713113122267252,0.5979506194509304,0.520459341927718,0.6436257864546715,0.39320412535888505,0.36731756533750315,0.5516994446674585,0.5979506194510157,0.520459341927806,0.6436257864547669,0.4101199385054707,0.36441377805877806,0.9935550294084029,0.22011110715620907,0.18994266017989328,0.4992623563827127,0.41011993850546963,0.3644137780587778,0.9935550294084011,0.851925524740248,0.6793541452736339,1.5776061179662149,0.17345252650500562,0.13737993681528524,0.24636226149294835,0.7883457135852853,0.6291715326476823,1.4387629466108733,0.06781581567480584,0.05420517458263392,,0.06757603237532571,0.0552616278810919,,0.06781581567445669,0.05420517458234674,
19,0.38329017726851045,0.32454664995705945,0.3829398748946751,0.3021752393836053,0.13281732455816592,,0.3832901772684432,0.3245466499570006,0.3829398748946145,0.1513438388428108,0.10412705826248787,0.38531516321637027,0.16157824058208245,0.1392835225013167,0.8499568408159264,0.15134383884281236,0.10412705826248743,0.3853151632163665,0.2740324435739694,0.23870790968344854,0.4575061864378196,0.44867013168235265,0.3741078418213347,,0.2740324435738958,0.23870790968338748,0.4575061864377171,0.220729061977413,0.15710475438503535,,0.3193604416458037,0.2603180549807032,,0.22072906197737982,0.15710475438501514,,0.0609961674054693,0.05163362115775243,0.08145957640341965,0.09801675704179309,0.06890386474048692,0.17156010896069637,0.061067671797206756,0.051683364795309626,0.08148251400163059
