LISZT_FERENC_STATION__MEMORY;LISZT_FERENC_STATION__LOAD_OF_RESOURCE;LISZT_FERENC_STATION__TOTAL_PROCESSING_POWER;KALOCSA_FOKTO_STATION__MEMORY;KALOCSA_FOKTO_STATION__LOAD_OF_RESOURCE;KALOCSA_FOKTO_STATION__TOTAL_PROCESSING_POWER;DEBRECEN_INTERNATIONAL_AIRPORT__MEMORY;DEBRECEN_INTERNATIONAL_AIRPORT__LOAD_OF_RESOURCE;DEBRECEN_INTERNATIONAL_AIRPORT__TOTAL_PROCESSING_POWER;KECSKEMET_AIRPORT__MEMORY;KECSKEMET_AIRPORT__LOAD_OF_RESOURCE;KECSKEMET_AIRPORT__TOTAL_PROCESSING_POWER;BUDAPEST_MAIN__MEMORY;BUDAPEST_MAIN__LOAD_OF_RESOURCE;BUDAPEST_MAIN__TOTAL_PROCESSING_POWER;
34359738368,00000000;32,00000000;0,00008000;30064771072,00000000;28,00000000;0,00007000;34359738368,00000000;32,00000000;0,00008000;30064771072,00000000;28,00000000;0,00007000;4294967296,00000000;8,00000000;0,00001000;
34359738368,00000000;32,00000000;0,00008000;30064771072,00000000;28,00000000;0,00007000;34359738368,00000000;32,00000000;0,00008000;34359738368,00000000;32,00000000;0,00008000;4294967296,00000000;8,00000000;0,00001000;
34359738368,00000000;32,00000000;0,00008000;34359738368,00000000;32,00000000;0,00008000;34359738368,00000000;32,00000000;0,00008000;34359738368,00000000;32,00000000;0,00008000;4294967296,00000000;8,00000000;0,00001000;
34359738368,00000000;32,00000000;0,00008000;34359738368,00000000;32,00000000;0,00008000;38654705664,00000000;36,00000000;0,00009000;34359738368,00000000;32,00000000;0,00008000;4294967296,00000000;8,00000000;0,00001000;
38654705664,00000000;36,00000000;0,00009000;34359738368,00000000;32,00000000;0,00008000;38654705664,00000000;36,00000000;0,00009000;34359738368,00000000;32,00000000;0,00008000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;34359738368,00000000;32,00000000;0,00008000;38654705664,00000000;36,00000000;0,00009000;38654705664,00000000;36,00000000;0,00009000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;38654705664,00000000;36,00000000;0,00009000;38654705664,00000000;36,00000000;0,00009000;38654705664,00000000;36,00000000;0,00009000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;38654705664,00000000;36,00000000;0,00009000;42949672960,00000000;40,00000000;0,00010000;38654705664,00000000;36,00000000;0,00009000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;38654705664,00000000;36,00000000;0,00009000;42949672960,00000000;40,00000000;0,00010000;42949672960,00000000;40,00000000;0,00010000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;42949672960,00000000;40,00000000;0,00010000;42949672960,00000000;40,00000000;0,00010000;42949672960,00000000;40,00000000;0,00010000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;42949672960,00000000;40,00000000;0,00010000;47244640256,00000000;44,00000000;0,00011000;42949672960,00000000;40,00000000;0,00010000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;42949672960,00000000;40,00000000;0,00010000;47244640256,00000000;44,00000000;0,00011000;47244640256,00000000;44,00000000;0,00011000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;47244640256,00000000;44,00000000;0,00011000;47244640256,00000000;44,00000000;0,00011000;47244640256,00000000;44,00000000;0,00011000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;47244640256,00000000;44,00000000;0,00011000;51539607552,00000000;48,00000000;0,00012000;47244640256,00000000;44,00000000;0,00011000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;47244640256,00000000;44,00000000;0,00011000;51539607552,00000000;48,00000000;0,00012000;51539607552,00000000;48,00000000;0,00012000;8589934592,00000000;16,00000000;0,00002000;
