Load of resource;Memory;Total proc. power;Tester
8,0000;8589934592,0000;0,0000;66,6667
8,0000;8589934592,0000;0,0000;66,6667
8,0000;8589934592,0000;0,0000;100,0000
8,0000;8589934592,0000;0,0000;100,0000
8,0000;8589934592,0000;0,0000;100,0000
8,0000;8589934592,0000;0,0000;100,0000
8,0000;8589934592,0000;0,0000;133,3333
8,0000;8589934592,0000;0,0000;133,3333
8,0000;8589934592,0000;0,0000;133,3333
8,0000;8589934592,0000;0,0000;133,3333
8,0000;8589934592,0000;0,0000;166,6667
8,0000;8589934592,0000;0,0000;166,6667
8,0000;8589934592,0000;0,0000;166,6667
8,0000;8589934592,0000;0,0000;166,6667
8,0000;8589934592,0000;0,0000;200,0000
8,0000;8589934592,0000;0,0000;200,0000
8,0000;8589934592,0000;0,0000;200,0000
8,0000;8589934592,0000;0,0000;200,0000
8,0000;8589934592,0000;0,0000;233,3333
8,0000;8589934592,0000;0,0000;233,3333
8,0000;8589934592,0000;0,0000;233,3333
8,0000;8589934592,0000;0,0000;233,3333
8,0000;8589934592,0000;0,0000;266,6667
8,0000;8589934592,0000;0,0000;266,6667
8,0000;8589934592,0000;0,0000;266,6667
8,0000;8589934592,0000;0,0000;266,6667
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;300,0000
8,0000;8589934592,0000;0,0000;333,3333
8,0000;8589934592,0000;0,0000;333,3333
8,0000;8589934592,0000;0,0000;333,3333
8,0000;8589934592,0000;0,0000;333,3333
8,0000;8589934592,0000;0,0000;366,6667
8,0000;8589934592,0000;0,0000;366,6667
8,0000;8589934592,0000;0,0000;366,6667
8,0000;8589934592,0000;0,0000;366,6667
8,0000;8589934592,0000;0,0000;400,0000
8,0000;8589934592,0000;0,0000;400,0000
8,0000;8589934592,0000;0,0000;400,0000
8,0000;8589934592,0000;0,0000;400,0000
8,0000;8589934592,0000;0,0000;433,3333
8,0000;8589934592,0000;0,0000;433,3333
8,0000;8589934592,0000;0,0000;433,3333
8,0000;8589934592,0000;0,0000;433,3333
8,0000;8589934592,0000;0,0000;466,6667
8,0000;8589934592,0000;0,0000;466,6667
8,0000;8589934592,0000;0,0000;466,6667
8,0000;8589934592,0000;0,0000;466,6667
8,0000;8589934592,0000;0,0000;500,0000
8,0000;8589934592,0000;0,0000;500,0000
8,0000;8589934592,0000;0,0000;500,0000
8,0000;8589934592,0000;0,0000;500,0000
8,0000;8589934592,0000;0,0000;533,3333
8,0000;8589934592,0000;0,0000;533,3333
8,0000;8589934592,0000;0,0000;533,3333
8,0000;8589934592,0000;0,0000;533,3333
8,0000;8589934592,0000;0,0000;566,6667
8,0000;8589934592,0000;0,0000;566,6667
8,0000;8589934592,0000;0,0000;566,6667
8,0000;8589934592,0000;0,0000;566,6667
8,0000;8589934592,0000;0,0000;600,0000
8,0000;8589934592,0000;0,0000;600,0000
8,0000;8589934592,0000;0,0000;600,0000
8,0000;8589934592,0000;0,0000;600,0000
8,0000;8589934592,0000;0,0000;633,3333
8,0000;8589934592,0000;0,0000;633,3333
8,0000;8589934592,0000;0,0000;633,3333
8,0000;8589934592,0000;0,0000;633,3333
8,0000;8589934592,0000;0,0000;666,6667
8,0000;8589934592,0000;0,0000;666,6667
8,0000;8589934592,0000;0,0000;666,6667
8,0000;8589934592,0000;0,0000;666,6667
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;733,3333
8,0000;8589934592,0000;0,0000;733,3333
8,0000;8589934592,0000;0,0000;733,3333
8,0000;8589934592,0000;0,0000;733,3333
8,0000;8589934592,0000;0,0000;733,3333
8,0000;8589934592,0000;0,0000;733,3333
8,0000;8589934592,0000;0,0000;733,3333
8,0000;8589934592,0000;0,0000;733,3333
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;766,6667
8,0000;8589934592,0000;0,0000;733,3333
8,0000;8589934592,0000;0,0000;733,3333
8,0000;8589934592,0000;0,0000;733,3333
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;700,0000
8,0000;8589934592,0000;0,0000;666,6667
8,0000;8589934592,0000;0,0000;633,3333
8,0000;8589934592,0000;0,0000;600,0000
8,0000;8589934592,0000;0,0000;600,0000
8,0000;8589934592,0000;0,0000;600,0000
8,0000;8589934592,0000;0,0000;600,0000
8,0000;8589934592,0000;0,0000;633,3333
