Load of resource;Memory;Total proc. power;Tester
8,0000;8589934592,0000;0,0000;466,6667
8,0000;8589934592,0000;0,0000;633,3333
8,0000;8589934592,0000;0,0000;800,0000
8,0000;8589934592,0000;0,0000;966,6667
8,0000;8589934592,0000;0,0000;1133,3333
8,0000;8589934592,0000;0,0000;1300,0000
8,0000;8589934592,0000;0,0000;1466,6667
8,0000;8589934592,0000;0,0000;1633,3333
16,0000;17179869184,0000;0,0000;1800,0000
36,0000;38654705664,0000;0,0001;1966,6667
56,0000;60129542144,0000;0,0001;2133,3333
76,0000;81604378624,0000;0,0002;2300,0000
96,0000;103079215104,0000;0,0002;2466,6667
116,0000;124554051584,0000;0,0003;2633,3333
136,0000;146028888064,0000;0,0003;2800,0000
156,0000;167503724544,0000;0,0004;2966,6667
176,0000;188978561024,0000;0,0004;3133,3333
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3233,3333
196,0000;210453397504,0000;0,0005;3266,6667
196,0000;210453397504,0000;0,0005;2700,0000
196,0000;210453397504,0000;0,0005;2700,0000
140,0000;150323855360,0000;0,0004;2066,6667
140,0000;150323855360,0000;0,0004;2066,6667
64,0000;68719476736,0000;0,0002;1400,0000
52,0000;55834574848,0000;0,0001;1300,0000
52,0000;55834574848,0000;0,0001;1433,3333
52,0000;55834574848,0000;0,0001;1533,3333
52,0000;55834574848,0000;0,0001;1633,3333
56,0000;60129542144,0000;0,0001;1766,6667
64,0000;68719476736,0000;0,0002;1900,0000
64,0000;68719476736,0000;0,0002;2033,3333
68,0000;73014444032,0000;0,0002;2133,3333
72,0000;77309411328,0000;0,0002;2233,3333
88,0000;94489280512,0000;0,0002;2400,0000
108,0000;115964116992,0000;0,0003;2566,6667
120,0000;128849018880,0000;0,0003;2666,6667
140,0000;150323855360,0000;0,0004;2833,3333
160,0000;171798691840,0000;0,0004;3000,0000
176,0000;188978561024,0000;0,0004;3133,3333
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
192,0000;206158430208,0000;0,0005;3233,3333
196,0000;210453397504,0000;0,0005;3300,0000
192,0000;206158430208,0000;0,0005;3233,3333
184,0000;197568495616,0000;0,0005;3033,3333
184,0000;197568495616,0000;0,0005;3066,6667
164,0000;176093659136,0000;0,0004;2766,6667
160,0000;171798691840,0000;0,0004;2733,3333
100,0000;107374182400,0000;0,0003;2233,3333
96,0000;103079215104,0000;0,0002;2233,3333
84,0000;90194313216,0000;0,0002;2133,3333
84,0000;90194313216,0000;0,0002;2300,0000
96,0000;103079215104,0000;0,0002;2466,6667
112,0000;120259084288,0000;0,0003;2600,0000
120,0000;128849018880,0000;0,0003;2633,3333
136,0000;146028888064,0000;0,0003;2800,0000
148,0000;158913789952,0000;0,0004;2900,0000
160,0000;171798691840,0000;0,0004;3000,0000
168,0000;180388626432,0000;0,0004;3066,6667
152,0000;163208757248,0000;0,0004;2866,6667
160,0000;171798691840,0000;0,0004;2966,6667
172,0000;184683593728,0000;0,0004;3100,0000
188,0000;201863462912,0000;0,0005;3233,3333
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3266,6667
196,0000;210453397504,0000;0,0005;3233,3333
188,0000;201863462912,0000;0,0005;3000,0000
188,0000;201863462912,0000;0,0005;3033,3333
140,0000;150323855360,0000;0,0004;2633,3333
144,0000;154618822656,0000;0,0004;2700,0000
140,0000;150323855360,0000;0,0004;2633,3333
148,0000;158913789952,0000;0,0004;2800,0000
152,0000;163208757248,0000;0,0004;2933,3333
164,0000;176093659136,0000;0,0004;3000,0000
152,0000;163208757248,0000;0,0004;2900,0000
140,0000;150323855360,0000;0,0004;2833,3333
144,0000;154618822656,0000;0,0004;2866,6667
160,0000;171798691840,0000;0,0004;3000,0000
180,0000;193273528320,0000;0,0005;3166,6667
192,0000;206158430208,0000;0,0005;3266,6667
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
192,0000;206158430208,0000;0,0005;3200,0000
196,0000;210453397504,0000;0,0005;3266,6667
184,0000;197568495616,0000;0,0005;3033,3333
188,0000;201863462912,0000;0,0005;3100,0000
192,0000;206158430208,0000;0,0005;3100,0000
192,0000;206158430208,0000;0,0005;3100,0000
192,0000;206158430208,0000;0,0005;3133,3333
172,0000;184683593728,0000;0,0004;3033,3333
172,0000;184683593728,0000;0,0004;3033,3333
156,0000;167503724544,0000;0,0004;2900,0000
156,0000;167503724544,0000;0,0004;2900,0000
160,0000;171798691840,0000;0,0004;3000,0000
168,0000;180388626432,0000;0,0004;3000,0000
172,0000;184683593728,0000;0,0004;3100,0000
192,0000;206158430208,0000;0,0005;3266,6667
196,0000;210453397504,0000;0,0005;3266,6667
196,0000;210453397504,0000;0,0005;3266,6667
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
192,0000;206158430208,0000;0,0005;3266,6667
192,0000;206158430208,0000;0,0005;3266,6667
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3266,6667
196,0000;210453397504,0000;0,0005;3266,6667
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
164,0000;176093659136,0000;0,0004;2933,3333
168,0000;180388626432,0000;0,0004;3066,6667
184,0000;197568495616,0000;0,0005;3200,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
196,0000;210453397504,0000;0,0005;3300,0000
192,0000;206158430208,0000;0,0005;3266,6667
