Load of resource;Memory;Total proc. power;Tester
0,0000;0,0000;0,0000;66,6667
0,0000;0,0000;0,0000;66,6667
0,0000;0,0000;0,0000;66,6667
0,0000;0,0000;0,0000;66,6667
0,0000;0,0000;0,0000;66,6667
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;133,3333
0,0000;0,0000;0,0000;200,0000
0,0000;0,0000;0,0000;333,3333
0,0000;0,0000;0,0000;400,0000
0,0000;0,0000;0,0000;466,6667
0,0000;0,0000;0,0000;533,3333
0,0000;0,0000;0,0000;666,6667
0,0000;0,0000;0,0000;733,3333
0,0000;0,0000;0,0000;800,0000
0,0000;0,0000;0,0000;933,3333
0,0000;0,0000;0,0000;1000,0000
0,0000;0,0000;0,0000;1200,0000
0,0000;0,0000;0,0000;1333,3333
0,0000;0,0000;0,0000;1400,0000
0,0000;0,0000;0,0000;1533,3333
0,0000;0,0000;0,0000;1733,3333
0,0000;0,0000;0,0000;1800,0000
0,0000;0,0000;0,0000;1933,3333
0,0000;0,0000;0,0000;2133,3333
0,0000;0,0000;0,0000;2200,0000
0,0000;0,0000;0,0000;2400,0000
0,0000;0,0000;0,0000;2533,3333
0,0000;0,0000;0,0000;2533,3333
0,0000;0,0000;0,0000;2333,3333
0,0000;0,0000;0,0000;2200,0000
0,0000;0,0000;0,0000;2066,6667
0,0000;0,0000;0,0000;1800,0000
0,0000;0,0000;0,0000;1733,3333
0,0000;0,0000;0,0000;1600,0000
0,0000;0,0000;0,0000;1466,6667
0,0000;0,0000;0,0000;1333,3333
0,0000;0,0000;0,0000;1200,0000
0,0000;0,0000;0,0000;1066,6667
